repository	url	relation	priority	action	notes
mlr3temporal	https://github.com/mlr-org/mlr3temporal.git	Imports	3	clone	Unmaintained consumer with removed dependencies; retained as source characterization only.
mlr3autoweka	https://github.com/mlr-org/mlr3autoweka.git	Imports	2	clone	Secondary integration.
mlr3survival-old	https://github.com/mlr-org/mlr3survival-old.git	Imports	3	skip	Obsolete package.
mlr3ordinal	https://github.com/mlr-org/mlr3ordinal.git	Imports	3	skip	Stale package.
mlr3keras	https://github.com/mlr-org/mlr3keras.git	Imports	3	skip	Stale package and obsolete backend.
mlr3learners.template	https://github.com/mlr-org/mlr3learners.template.git	Imports	3	skip	Stale template rather than a consumer gate.
mlr3multioutput	https://github.com/mlr-org/mlr3multioutput.git	Imports	3	skip	Stale package.
mlr3misc	https://github.com/mlr-org/mlr3misc.git	Suggests	2	clone	Core optional tests.
mlr3spatial	https://github.com/mlr-org/mlr3spatial.git	Suggests	2	clone	Current extension.
mlr3viz	https://github.com/mlr-org/mlr3viz.git	Suggests	2	clone	Current visualization package.
mcboost	https://github.com/mlr-org/mcboost.git	Suggests	2	clone	Optional consumer.
mlr3summary	https://github.com/mlr-org/mlr3summary.git	Suggests	2	clone	Maintained de facto consumer that reads learner and resampling ParamSet values.
fastshap	https://github.com/bgreenwell/fastshap.git	Dependency	2	clone	Pinned external fallback for mlr3summary after fastshap was archived on CRAN; not a paradox consumer gate.
mlr3book	https://github.com/mlr-org/mlr3book.git	Documentation	0	clone	Active advanced paradox chapter and broad implicit UI specification.
mlr3website	https://github.com/mlr-org/mlr3website.git	Documentation	0	clone	Current gallery successor and paradox benchmark suite.
mlr3cheatsheets	https://github.com/mlr-org/mlr3cheatsheets.git	Documentation	2	clone	Current user-facing tuning and pipeline UI reference rendered by the documentation gate.
mlr3gallery	https://github.com/mlr-org/mlr3gallery.git	Documentation	2	clone	Archived legacy corpus; superseded by mlr3website but retained as an advisory probe.
mlr3benchmark	https://github.com/mlr-org/mlr3benchmark.git	Documentation	2	clone	Maintained package whose documentation assigns through learner ParamSet values.
mbo_config	https://github.com/mlr-org/mbo_config.git	Workload	1	clone	Realistic optimization configurations and benchmarks.
mlr3-targets	https://github.com/mlr-org/mlr3-targets.git	Workload	2	clone	Pre-modernization targets prototype; its legacy constructor surface is retained as an advisory migration workload.
mlr3torch-course	https://github.com/mlr-org/mlr3torch-course.git	Documentation	3	clone	GPU-heavy course corpus retained as source characterization, not an executable release gate.
