package	relation	source	priority	notes	version	repository	archive	md5	sha256
interflex	imports	CRAN	2	External direct importer.	1.4.0	https://cloud.r-project.org/src/contrib	interflex_1.4.0.tar.gz	6c39d61cb30135c376dcec591088926b	5d2f94247ccadcc0bd382960712df45beb7aff907e74b06ab03b2b1e04eebbdf
MantaID	imports	CRAN	2	External direct importer.	1.0.4	https://cloud.r-project.org/src/contrib	MantaID_1.0.4.tar.gz	1e2afe5abae65182fdd57bcf7ed071e3	2f11597268d93cb948e46bb6cda49bdb1d4fa01ee749456816620ba76f39de57
MicrobiomeStat	imports	CRAN	2	External direct importer.	1.4	https://cloud.r-project.org/src/contrib	MicrobiomeStat_1.4.tar.gz	d1615099a03ba1ce478856a7f404915d	21ebdacb8d58da21623d187625343a5d855a6bc148ef22540f5b0fdd3e45c246
sense	imports	CRAN	2	External direct importer.	1.1.0	https://cloud.r-project.org/src/contrib	sense_1.1.0.tar.gz	60525569f4def1d0b4ba75d5be77b68f	a3247d97dc3a8ef9648b48c3f62063b49b0be2efdd672ece403e7cf737949b81
VIM	imports	CRAN	2	External direct importer.	7.0.0	https://cloud.r-project.org/src/contrib	VIM_7.0.0.tar.gz	7857e11266a33f85c6759ec1072b35f3	f11d25522c9cd9fd48c0bbbdf9c9e52cb12ec9e59e11c897ab93fb097581fe00
xplainfi	imports	CRAN	2	External direct importer.	1.2.0	https://cloud.r-project.org/src/contrib	xplainfi_1.2.0.tar.gz	81a99727b893dd6e4dde21a900b80eda	12f72d90bdb6b57551d7b2fe3ec5cbcead0d4175ac50ec17ee1aaf133a17d3aa
mlr3misc	suggests	CRAN	2	Core mlr-org package whose optional tests exercise paradox.	0.22.0	https://cloud.r-project.org/src/contrib	mlr3misc_0.22.0.tar.gz	c3b7b7d10c421e20e1bfe601b40612c3	739e23e1a17d2ff43764656055b8aaa360dcce41907ac1867de0e7cd60e40ef5
mlr3spatial	suggests	CRAN	2	Current mlr-org extension.	0.7.0	https://cloud.r-project.org/src/contrib	mlr3spatial_0.7.0.tar.gz	05e263701b920dc38fdefbc0e53be0b9	71b39657b996bbcdbdeab7599fd6dcaacc798946746d151b450c88bc65f3f64c
mlr3viz	suggests	CRAN	2	Current mlr-org visualization package.	0.11.1	https://cloud.r-project.org/src/contrib	mlr3viz_0.11.1.tar.gz	68c849aadd768d9a8804043889dd990d	3e5cec035f1d96d73fd546d76d27e8a88e72c523445a5456f873823c1599cf77
DoubleML	suggests	CRAN	3	Optional external consumer.	1.0.2	https://cloud.r-project.org/src/contrib	DoubleML_1.0.2.tar.gz	b814da4cd0765b908d4b9a3bb0f35410	f586aacbf3f73c93ea48d16dfdb3a9f6d2ea14b0ea5c10b98ac8b318dd31f3f4
drape	suggests	CRAN	3	Optional external consumer.	0.0.2	https://cloud.r-project.org/src/contrib	drape_0.0.2.tar.gz	ae0ec73acaf649c7fc342dc2f4e9c399	fcb039b41a968bb434f82c6a480a22aaa0d5a00f28681c20b4196d9c167cee7a
ggmlR	suggests	CRAN	3	Optional external consumer.	0.8.2	https://cloud.r-project.org/src/contrib	ggmlR_0.8.2.tar.gz	f546824f0715cc65feccc55b59e75da2	4e2c134f0eafd1d14f22491e524d58636d44d6dd006b00f1f6665f63eb81b2ff
mcboost	suggests	CRAN	3	Optional external consumer.	0.4.4	https://cloud.r-project.org/src/contrib	mcboost_0.4.4.tar.gz	e4e6dc914fb9bceb638212a6776e0dc2	99ef09c1218278e6d60242e2e77f756c2c646246ee646e0905fe8780e7d35b93
