repository	origin	commit	tree	commit_date	archived	clean_status	source_archive_sha256	source_type	scoped_files	scope_receipt_sha256	paradox_lines	api_lines	all_text_paradox_lines	all_text_api_lines	use_class	review_decision	evidence	rationale
mlr3-learndrake	https://github.com/mlr-org/mlr3-learndrake.git	69b2b67160e67cf061b514edd724ff60b7488ade	d96197776be56b5cec87637c94144c6e85802820	2022-05-07T14:36:28+02:00	true	clean	f1e9dfca2c8ce0a23828166fe6e88c94f62c47bb0943c1b257c79d12f1859021	org-scan	25	34e9303e6fbba1b7a9d509cb130583431234fc8c8a8875f76cf10661df08864e	2	42	4	215	direct-documentation	characterization-only	01-intro/packages.R:6	Archived drake template loads paradox, but is superseded and not a maintained consumer.
mlr3-targets	https://github.com/mlr-org/mlr3-targets.git	ac1df81ee4a71781e92e39696e5239b716d05319	4d9bb7ccad26fdf7ff76c8bcc5b0db940a96547c	2022-05-08T16:13:50+02:00	false	clean	9b051adc09bf3bc7d91ae3a8821790313c85cf9f7f7170ec63c5ddaca207701e	org-scan	11	42f4ebce277fba8a52cbafb3453f9cc7fe4f953c2a53cfc9f6a31b067ba0ecfe	1	37	7	37	direct-workload	add-advisory-p2	plans/01-param-sets.R:4	Unarchived targets workload loads paradox and constructs legacy ParamSet/Param* objects; retain as an advisory compatibility workload despite its 2022 vintage.
mlr3automl	https://github.com/mlr-org/mlr3automl.git	2175e5a775d1e7cf69672052a05bd1cbe0a2a0af	0d8a43a7d614d13eaa488e7148158fd448c9a305	2026-07-02T11:41:17+02:00	false	clean	f15d1c645ce6c1e6eecb0a207b88e2477261dd455e95175d2e16634498d5fb1a	consumer-corpus	93	837d32952aed1c582e099a700406982bb42655e88ed8f25da8f54f3742523126	4	149	9	176	direct-package	retain-gate-p1	DESCRIPTION:29	Active GitHub-only consumer.
mlr3autoweka	https://github.com/mlr-org/mlr3autoweka.git	c7f93d6ce93a41c9fea4bb5876da3347c68d6083	22fe574f450e3914e44687aac3daae188324596b	2024-01-16T00:22:15-07:00	false	clean	2a14b76ddfa02141329c6be498ffc6c24f80ae1313443508befb7cf918640e5c	consumer-corpus	8	7de7f6a780275f8c166846ba1171ae1556ad7e10c1863ba6cf7913a1f949c4da	10	148	16	155	direct-package	retain-advisory-p2	DESCRIPTION:28	Secondary integration.
mlr3batchmark	https://github.com/mlr-org/mlr3batchmark.git	11dff80ca06c1f4e01bc78c4dd49c12e78208282	eed26dcd2451afd715593b585afe88aba89c5f8b	2026-07-02T11:49:54+02:00	false	clean	733e2a931fa69a14e0807283b5a27e9d3ca0ef5ba83e1b162402bdd8e27fdb97	org-scan	13	4f760c73eab010dc741a3833f22d9c4fdd71cdb0ca2ef1b2f13794aaffb193ce	0	3	5	6	de-facto-package	add-gate-p1	R/worker.R:11	Active package production code calls learner ParamSet$set_values() and tests inspect $values without declaring paradox directly.
mlr3benchmark	https://github.com/mlr-org/mlr3benchmark.git	a87e639706530e0200ab46420fa68240e1828118	0750efccd4be4c0877b24ed4e90af6d62b37da55	2024-12-02T19:32:32+01:00	false	clean	bd050330e8fb5b8f3f6b1e2edca7166ff6d6370aa3ac360f8c173dacec68371a	org-scan	12	0f63876d1f65b8fbb45e7d81a84e2a0e75383f162475b61587a418cbb9ac95eb	0	2	1	3	de-facto-documentation	add-advisory-p2	R/autoplot.BenchmarkAggr.R:69	Active package documentation assigns through learner$param_set$values; weak but current implicit-surface evidence.
mlr3book	https://github.com/mlr-org/mlr3book.git	6fa2a0abafbe2da3fff635787437d126e41279b9	deb4502f5ab5a673d92761295cf8aeec190de678	2026-07-03T10:24:22+02:00	false	clean	9ffd6fa83fca4bcae62cb3538e9338aa514010fa9582d6cffe1245b13c5545cc	consumer-corpus	46	1d0d492ce1ea0dbe4a023b137b295527e4fc3ed92f881c5d92ef8f22c96da6d4	110	801	181	907	direct-documentation	retain-gate-p0	NAMESPACE:31	Active advanced paradox chapter and broad implicit UI specification.
mlr3cheatsheets	https://github.com/mlr-org/mlr3cheatsheets.git	a751195e7cb7aa22c7c844379e1037c962e94d20	70f8a1bf2f0b0ae6c70662339ec7482164d5c2d4	2026-03-24T15:28:06+01:00	false	clean	fdf7f8c56bedde1c0dbf98a896545e6b1d8971d8aa4cfd81f9838f634f570080	consumer-corpus	5	967eda071a9f7790bbbbd0d203d1d3e24b2f517690a3181ce149500d0581d618	3	31	8	32	direct-package	retain-advisory-p2	DESCRIPTION:26	User-facing documentation surface.
mlr3cluster	https://github.com/mlr-org/mlr3cluster.git	0aa0124c307ca8b9c7647188dffc7d1da0254e0a	ce4192b6cdf40bf8df820fe8ac18fb269f441ce0	2026-07-10T19:22:04+02:00	false	clean	9fff81151dd571da7a02d545c6a2b510bbde7a40c06f147edc36bcd5d2331c18	consumer-corpus	125	5ccd11945d5e70fc6f9e8c058edf2f409d37b0c2cbe1eedd94ebd57d5618fba4	4	513	13	518	direct-package	retain-gate-p1	DESCRIPTION:27	Active extension.
mlr3cmprsk	https://github.com/mlr-org/mlr3cmprsk.git	de51006a1e417469a34d365763b201110e2966cf	ebce83ffc3e13101b638422cd40569fdcf7340d2	2026-04-11T16:04:27+03:00	false	clean	930805567e26cbfe0e77230c3a6e2ca162db756fee2a16a7879e86928b488b9b	consumer-corpus	59	45e03fd27fe3f75b61f0ff10e34c56a9e0dd3171d9c08194008f458f49b7cf5c	4	38	7	43	direct-package	retain-gate-p1	DESCRIPTION:21	Active GitHub-only consumer.
mlr3data	https://github.com/mlr-org/mlr3data.git	5aeb7e85e62d9835aee98920e22be074ea61ca73	6e88efddfefe21357fb2a0d585a2dd75c6bd4207	2026-07-02T11:41:14+02:00	false	clean	50b146789999de9066c9e4cd30f30e17c1f1ce15664e0e7718c945b13fba0b39	org-scan	24	91414078fc180118c0e0758ad070869caa290c9adbf260e0d6b72a5b83035260	0	0	5	3	transitive-template	exclude-transitive	extra-rules/mlr3.md:43	No package use; only the shared extra-rules/mlr3.md development template mentions paradox.
mlr3db	https://github.com/mlr-org/mlr3db.git	c7d40b4cfe6d135eec72796d5003f7f3acf94e20	797229cd6dfa1a28e2b1209d29bf96ff4f7b7b7b	2026-07-02T11:41:06+02:00	false	clean	e82da428726f1b674e6a040711efcc50d9128923f8f37b70a3dc350ab9a08cbf	org-scan	31	4fad02e3d76eb5022bb10934a10303f5074c9f944b1d3809b7222c483485e96e	0	5	5	8	transitive-template	exclude-transitive	extra-rules/mlr3.md:43	No package use; apparent map_* matches are mlr3misc and only the shared development template mentions paradox.
mlr3docker	https://github.com/mlr-org/mlr3docker.git	1505e4a9e17c98f90ad2844a9e07f666fd32ce53	f4b8a0376c28dc95d90e5168aa657a065a57e268	2026-06-11T12:38:10+02:00	false	clean	2d20fef0662580b28bc3fcc6d8f7294ecdb032385418922331fc8a89259f8e3a	org-scan	0	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	0	0	0	0	infrastructure	exclude-infrastructure	-	Container-image repository; no R, Rmd, qmd, or script consumer surface.
mlr3ensemble	https://github.com/mlr-org/mlr3ensemble.git	5e28058a4c94a56c759f300b931bfda6c7e316ae	f7e2c030090187922cfca16ee8029b04ca477ed9	2021-10-11T12:07:10+03:00	false	clean	b7087025ca9685353a9d4a71c3547740a67d4a5b87488b7be833883b654bbccc	org-scan	6	5e88369fea67ca81edbdb40c220a918d8dc80470aeac2519e5a8ac4b1d471a8a	0	0	0	0	no-use	exclude-no-use	-	No paradox dependency, mention, or API-shaped use in the reviewed scope.
mlr3extralearners	https://github.com/mlr-org/mlr3extralearners.git	f596c7313cdf280075f033de90f42cf4f310c098	ab14db5b52cd449076aef3b3ffe6c48609b9fa5d	2026-07-03T10:12:09+02:00	false	clean	36babebd4b14dd647296a5c55c6fe2454de91a36fce41f98c500b512986d8efa	consumer-corpus	627	67c2d7faaf6ad78d0c71d1465e0ad03d482e75b92a403404bf2e6ab16c9250d2	15	5076	25	5016	direct-package	retain-gate-p1	DESCRIPTION:49	Very broad constructor coverage.
mlr3fairness	https://github.com/mlr-org/mlr3fairness.git	6946cbe78c9f39e90c06562347e8bee06eead11e	6d3d72670a3c9b52a21275b29c3761172edd552d	2026-04-24T17:17:31+02:00	false	clean	779eb6c06d2d3f6b83591385ce918ac80ffd0b325cc78f6fc1f8d25dec0f30d4	consumer-corpus	80	318970bf2d7145d5f0379ba97c85b5316a254159d576d51c24a942c68aaf983f	3	76	7	78	direct-package	retain-gate-p1	DESCRIPTION:37	Active extension.
mlr3fda	https://github.com/mlr-org/mlr3fda.git	5e6204d0d3a3c21325a71eda4402c30b31209eef	ad6ce768dc4f52c2d4a45255fe2b967e936693c4	2026-07-09T16:31:16+02:00	false	clean	535713f30f51d6ba618f1dee90b888abf9061da7a422161c5ea4c7d3b8d2d4d1	consumer-corpus	62	5b3a7ae54fdc60ddb99c0b766a04d497659a410cce746fbff42032cadad48189	4	133	10	131	direct-package	retain-gate-p1	DESCRIPTION:34	Active extension.
mlr3filters	https://github.com/mlr-org/mlr3filters.git	13318fe7b382950c0c52d90fd3801f632aa44d07	8b81bc1078eefae765a96048ad374e4f98600784	2026-07-02T11:41:12+02:00	false	clean	f8ca2dcbd330cb9583ad5d73cb905dd1acb400c44aad6a3ca4a6427520cd86c3	consumer-corpus	59	06527fcd91f22258999bdcb6b9531aa8c4d349bd56efcc0f0197bc88be4afe11	5	123	13	133	direct-package	retain-gate-p1	DESCRIPTION:34	Active extension.
mlr3forecast	https://github.com/mlr-org/mlr3forecast.git	8e352550f2334e42c8c81ee80d3e237b807abebe	0fa79e3f9d650d14c6a48e7cf3022b1518934c30	2026-07-12T22:12:15+02:00	false	clean	0d954fe66aace157c454bd2ec0a7ee36be756fe384832b0e9cde5632a6781927	consumer-corpus	190	fab2006a475ba432d379f804b2e8217fcc07fd236d5dfa08850b74ba2c677204	5	642	14	669	direct-package	retain-gate-p1	DESCRIPTION:34	Active GitHub-only consumer.
mlr3fselect	https://github.com/mlr-org/mlr3fselect.git	cd12d7717f31701edc6ebcf7f2cbe1168cae1ecb	05640b24600ad810c774069937237d4da10b7caf	2026-07-02T11:40:59+02:00	false	clean	2b1c05432ecd5b61ed001ce3003e75b9d62e612f6afeeb28f26b89f435a9f008	consumer-corpus	125	6c51d3463ab320fda0028390ebdf2b3f85fb4c273ac522eea46889526fd717e3	10	176	23	184	direct-package	retain-gate-p0	DESCRIPTION:36	Core feature-selection gate.
mlr3gallery	https://github.com/mlr-org/mlr3gallery.git	2a809d3fe6124265008fee477cf2f3d4f0e38194	9fb4337b76dc0a44b94452e8b3daa53e28ba4d72	2022-11-08T08:54:35+01:00	true	clean	d81820a10d195b94ea4af9ae49e609a563a24d8797a2447d181630f5df8b171f	consumer-corpus	55	0dfc557a7a230c5783850d9e0f5e185630414579ba0968959e899d9784623270	1	35	32	65	direct-package	retain-advisory-p2	DESCRIPTION:66	Archived legacy corpus; superseded by mlr3website.
mlr3hyperband	https://github.com/mlr-org/mlr3hyperband.git	c60678f7057150ffb889bb9ecb6c2744004a8a9e	fa011625ae36eac55a7550533892f01430c841c0	2026-07-02T11:41:02+02:00	false	clean	2bd7fdbb64be01368a4cd0a18dd27d2fdc1851d00a7e310fc8ea4553b9c90468	consumer-corpus	33	a7618fb30b563f7fa69213304bd2483718b382490ee3f171c95ccdafb8aa8133	8	177	26	211	direct-package	retain-gate-p0	DESCRIPTION:37	Core tuning extension gate.
mlr3inferr	https://github.com/mlr-org/mlr3inferr.git	12b0024b0d45cf4f2966dd623cfaa4695c9cf5db	529c6e44749384d1e25780db7b08773c9e783dd3	2025-11-26T15:50:48+01:00	false	clean	6f79a3e65e50d238e4e842185630995c7617b45e6884bfbb8152fdcb839a7230	consumer-corpus	33	dbf674d3d3acf4ebb5ac7640ab180347e77daa48d2352e9ed531206bd5c6e679	4	45	5	46	direct-package	retain-gate-p1	DESCRIPTION:25	Active extension.
mlr3infrastructure	https://github.com/mlr-org/mlr3infrastructure.git	777dca39953a5120ad73640c59ae96f5d16148a7	1c8259c72c6b953909cb744995b874e87adc0721	2026-06-22T15:42:36+02:00	false	clean	b200230650336c05c3e3eaf002593889286795385f715ac35442135834fa55fe	org-scan	1	dbaa7c7c5dee94c47e2e45e9e680c3dd13578cad1b820755bb6fe1613a4996c0	0	0	6	5	infrastructure	exclude-infrastructure	package/extra-rules/mlr3.md:43	CI/template infrastructure contains generic authoring guidance, not executable consumer behavior.
mlr3keras	https://github.com/mlr-org/mlr3keras.git	bad8434b7898b51b2143fc680594057c00dc7080	1ceeb22a257d915c2f3ba0edff9f4425dfe424af	2022-04-07T10:07:52+02:00	false	clean	ff124e001a8b4ed50caa645428939a57e2874b6cf1a32f6d7a970fb95b5f5dcb	org-scan	59	70ad86a27cb836c10c99127ab2e8b3fc7c593fdb1bf2fa4e7073e03987e4fdb9	6	360	6	388	direct-package	retain-reviewed-exclusion-p3	DESCRIPTION:40	Stale package and obsolete backend.
mlr3learners	https://github.com/mlr-org/mlr3learners.git	090109dd187b79c321e04e8948228f887f9215e6	65b928bb9d753a03b5d26b17cae884c49f674e6e	2026-07-02T11:40:57+02:00	false	clean	c46a5855e1cfbd25ef485ca88cd969de3f225879264f69e8c3c61dc537b1396b	consumer-corpus	87	1d536eba36d02389b1a7555add3101eee7c517f86174ad765596b18c3b2d6bb6	3	714	10	699	direct-package	retain-gate-p0	DESCRIPTION:39	Broad learner integration gate.
mlr3learners.template	https://github.com/mlr-org/mlr3learners.template.git	f3736eb3d828ded7c7ab0f1adb69203aa572ca3e	c04d4c94c630e3e2dbb389064a15e234945cf9e9	2020-06-03T21:59:54+02:00	false	clean	e17088f8b03a9bd43c2392e4079bca726d120985bb7d5a56656900b7930aa17c	org-scan	12	34139766b3605d4c6a8726c736cac246ffea747e7c42354149ca9e0da1e7c58a	2	5	2	5	direct-package	retain-reviewed-exclusion-p3	DESCRIPTION:17	Stale template rather than a consumer gate.
mlr3mbo	https://github.com/mlr-org/mlr3mbo.git	beea4afca5d0c4a49b733fe9c3307f677862bd3f	e4d1142f80cea61ce40d3c0938d56597570f00e2	2026-07-02T11:41:00+02:00	false	clean	d68e01d728110c328186d41bda7ff3487fd3c3fcd0c7d0fe4459b3be5ec8e356	consumer-corpus	187	0c545c6192df6110356dc6c541220c1a8a646740251f4b9095af2c7f52de4056	71	750	134	848	direct-package	retain-gate-p0	DESCRIPTION:51	Design-generation and optimization gate.
mlr3measures	https://github.com/mlr-org/mlr3measures.git	f75e8985ff3a80e9b8d45b923c0d1a435d0f31d7	902d22693c183f32dbe305086f6e0af7fa002a1b	2026-07-02T11:41:15+02:00	false	clean	5a0b9e555c34dfc38baa811a9155e3afb7d88383d5737657046172cd95cdc3a6	org-scan	80	db95f6903e74c0087075d62f88365aa9df5880c26f71b21e0c6180cbcc4d97d5	0	1	5	4	no-use	exclude-no-use	R/classif_auc.R:103	No paradox use; map_dbl is an mlr3misc helper.
mlr3misc	https://github.com/mlr-org/mlr3misc.git	4a7b3e7901816f1c0149c0e45d303ae6e2f179d2	26dad8a38fab59e5a7c34de79b96e7688707dd26	2026-07-02T11:41:09+02:00	false	clean	2ac46f38b62e8ca7a185ac95c44f4dcf769df5be86272d66089288b2e1f4efb8	consumer-corpus	132	96ca6cb6500049c8835bef36bd63a55ca7a85464fb9b0d7537f5ec84f7fb4d46	12	55	23	85	direct-package	retain-advisory-p2	DESCRIPTION:34	Core optional tests.
mlr3multilabel	https://github.com/mlr-org/mlr3multilabel.git	f994627d74abce7faf1189acf5454db53b8d036a	6fe86deea9de26d392b5f1df8a20cb2780071a49	2020-02-13T20:39:12+01:00	false	clean	33f1f8c0548c95c59ed2f3fd58e1226b54b69535e3eab738df417f5c293e4093	org-scan	0	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	0	0	0	0	no-use	exclude-obsolete	-	Stale empty/non-code package shell with no paradox surface.
mlr3multioutput	https://github.com/mlr-org/mlr3multioutput.git	93fab601328d3d72197fb7f82a41fe05c837442c	7a1480363b5b740003aefe68f5aeb74b85cfa5e6	2020-11-18T08:19:39+01:00	false	clean	16b46d730a4db10c65dde45e03f3d88e3268af6a1bcc02c5353b4b9dd47aa6dd	org-scan	60	2ded5bdba53ecb6880f728083574186e32de535946e517d1a75f15367c04f3cb	6	89	7	93	direct-package	retain-reviewed-exclusion-p3	DESCRIPTION:28	Stale package.
mlr3oml	https://github.com/mlr-org/mlr3oml.git	80ab341672bc5c8253b67a9f327968f2377ecb9d	5c7d31664b32a6fa7def688b806b6a6bc6b81f15	2026-01-28T11:16:57+01:00	false	clean	a46d05160d4847d7962e2502e790fcbb8b67e556aa4f7b72a09a0138a70b830f	consumer-corpus	105	48cad265e2d2e3256dc14e6975f56f6556e721d6b3cb9c285404ae084b0c74f3	8	24	10	24	direct-package	retain-gate-p1	DESCRIPTION:31	Active OpenML integration.
